Model,MAE,MSE,RMSE,R2
XGBoost,26745.868868949034,2754713404.7477765,52485.36371930537,0.9758735938236072
Random Forest,24880.547550106818,2761102219.482379,52546.19129377865,0.9758176391319114
ANN,31235.271733940972,3680664192.48567,60668.4777498634,0.9677639063454789
Decision Tree,31622.473113225216,4817560899.753375,69408.65147626321,0.9578067065537076
KNN,39490.62222222222,6245132739.340028,79026.15224936634,0.9453037078793314
Linear Regression,71771.20402644163,11652138921.863697,107945.07363406492,0.8979479186589362
